Continente,Country,Promedio de Mortalididad Infantil,Promedio de Esperanza de vida,Poblacion
Asia,China,24.18,75.5,1378665000
Asia,India,56.29,68.5,1324171354
América,United States,6.5,79.8,323127513
Asia,Indonesia,35.6,72.7,261115456
América,Brazil,29.61,73.8,207652865
Asia,Pakistan,72.44,67.7,193203476
África,Nigeria,98.8,53.4,185989640
Asia,Bangladesh,62.6,73.2,162951560
Asia,Russia,15.39,70.3,144342396
América,Mexico,20.91,75.9,127540423
Asia,Japan,3.26,85,126994511
Asia,Philippines,23.51,69.2,103320222
África,Ethiopia,95.32,62.2,102403196
África,Egypt,32.59,72.7,95688681
Asia,Vietnam,25.95,73.4,92701100
Europa,Germany,4.16,80.7,82667685
Asia,Iran,41.58,71.4,80277428
Asia,Turkey,41.04,74.8,79512426
África,Democratic Republic of the Congo,94.69,57.3,78736153
Asia,Thailand,20.48,74.7,68863514
Europa,France,4.26,81.8,66896109
Europa,United Kingdom,5.16,80.7,65637239
Europa,Italy,5.94,82.2,60600590
África,South Africa,61.81,63.1,55908865
África,Tanzania,98.54,62.2,55572201
Asia,Myanmar,38.5,66.6,52885223
Asia,South Korea,7.05,82.4,51245707
América,Colombia,20.97,75.7,48653419
África,Kenya,61.47,64,48461567
Europa,Spain,4.42,81.7,46443959
Europa,Ukraine,20.34,71.8,45004645
América,Argentina,15.18,77.1,43847430
África,Uganda,67.83,55.4,41487965
África,Algeria,31,76.8,40606052
África,Sudan,62.5,64.1,39578828
Europa,Poland,8.51,77.6,37948016
Asia,Iraq,50.25,74.9,37202572
América,Canada,4.75,81.9,36286425
África,Morocco,41.62,76.9,35276786
Asia,Afghanistan,163.07,51.3,34656032
Asia,Saudi Arabia,13.24,75.3,32275687
Asia,Uzbekistan,71.1,73.8,31848200
América,Peru,31.94,73.7,31773839
América,Venezuela,22.2,75.8,31568179
Asia,Malaysia,17.7,75,31187265
Asia,Nepal,66.98,70.7,28982771
África,Mozambique,130.79,53.3,28829476
África,Angola,191.19,56,28813463
África,Ghana,51.43,66.6,28206728
Asia,Yemen,61.5,65.5,27584213
Asia,North Korea,24.04,70.4,25368620
África,Madagascar,76.83,65.9,24894551
Oceanía,Australia,4.69,82.2,24127159
África,Côte d'Ivoire,90.83,58.7,23695919
África,Cameroon,68.26,58.5,23439189
Asia,Sri Lanka,14.35,76.8,21203000
África,Niger,121.69,55.5,20672987
Europa,Romania,26.43,75.1,19705301
África,Burkina Faso,97.57,55.5,18646433
Asia,Syria,29.53,74.9,18430453
África,Malawi,103.32,61.2,18091575
África,Mali,116.79,55.8,17994837
América,Chile,8.8,78.8,17909754
